pairing,Conservative,Labour,Liberal Democrat,Brexit party,Democratic Unionist Party,Sinn Fein,Social Democratic & Labour Party,Alliance,Ulster Unionist Party,Scottish National Party,Green,Plaid Cymru
389,3,1,0,0,0,0,0,0,0,0,0,0
390,3,1,0,0,0,0,0,0,0,0,0,0
391,3,0,1,0,0,0,0,0,0,0,0,0
392,3,1,0,0,0,0,0,0,0,0,0,0
393,3,1,0,0,0,0,0,0,0,0,0,0
394,3,1,0,0,0,0,0,0,0,0,0,0
395,3,1,0,0,0,0,0,0,0,0,0,0
396,3,1,0,0,0,0,0,0,0,0,0,0
397,3,1,0,0,0,0,0,0,0,0,0,0
398,3,1,0,0,0,0,0,0,0,0,0,0
399,2,1,1,0,0,0,0,0,0,0,0,0
400,3,1,0,0,0,0,0,0,0,0,0,0
401,3,1,0,0,0,0,0,0,0,0,0,0
402,3,1,0,0,0,0,0,0,0,0,0,0
403,3,1,0,0,0,0,0,0,0,0,0,0
404,3,1,0,0,0,0,0,0,0,0,0,0
405,3,1,0,0,0,0,0,0,0,0,0,0
406,3,1,0,0,0,0,0,0,0,0,0,0
407,3,1,0,0,0,0,0,0,0,0,0,0
408,3,1,0,0,0,0,0,0,0,0,0,0
409,3,1,0,0,0,0,0,0,0,0,0,0
410,2,1,1,0,0,0,0,0,0,0,0,0
411,3,1,0,0,0,0,0,0,0,0,0,0
412,3,1,0,0,0,0,0,0,0,0,0,0
413,3,1,0,0,0,0,0,0,0,0,0,0
414,3,1,0,0,0,0,0,0,0,0,0,0
415,3,1,0,0,0,0,0,0,0,0,0,0
416,3,1,0,0,0,0,0,0,0,0,0,0
417,3,1,0,0,0,0,0,0,0,0,0,0
418,3,1,0,0,0,0,0,0,0,0,0,0
419,3,1,0,0,0,0,0,0,0,0,0,0
420,2,1,1,0,0,0,0,0,0,0,0,0
421,3,1,0,0,0,0,0,0,0,0,0,0
422,3,1,0,0,0,0,0,0,0,0,0,0
423,3,1,0,0,0,0,0,0,0,0,0,0
424,3,1,0,0,0,0,0,0,0,0,0,0
425,3,1,0,0,0,0,0,0,0,0,0,0
426,3,0,1,0,0,0,0,0,0,0,0,0
427,3,1,0,0,0,0,0,0,0,0,0,0
428,3,1,0,0,0,0,0,0,0,0,0,0
429,3,1,0,0,0,0,0,0,0,0,0,0
430,3,1,0,0,0,0,0,0,0,0,0,0
431,3,1,0,0,0,0,0,0,0,0,0,0
432,3,1,0,0,0,0,0,0,0,0,0,0
433,3,1,0,0,0,0,0,0,0,0,0,0
434,3,1,0,0,0,0,0,0,0,0,0,0
435,3,1,0,0,0,0,0,0,0,0,0,0
436,3,0,1,0,0,0,0,0,0,0,0,0
437,3,0,1,0,0,0,0,0,0,0,0,0
438,3,1,0,0,0,0,0,0,0,0,0,0
439,3,1,0,0,0,0,0,0,0,0,0,0
440,3,1,0,0,0,0,0,0,0,0,0,0
441,3,1,0,0,0,0,0,0,0,0,0,0
442,3,1,0,0,0,0,0,0,0,0,0,0
443,3,1,0,0,0,0,0,0,0,0,0,0
444,3,1,0,0,0,0,0,0,0,0,0,0
445,3,1,0,0,0,0,0,0,0,0,0,0
446,2,1,1,0,0,0,0,0,0,0,0,0
447,3,1,0,0,0,0,0,0,0,0,0,0
448,3,0,1,0,0,0,0,0,0,0,0,0
449,3,1,0,0,0,0,0,0,0,0,0,0
450,3,1,0,0,0,0,0,0,0,0,0,0
451,3,1,0,0,0,0,0,0,0,0,0,0
452,3,1,0,0,0,0,0,0,0,0,0,0
453,3,1,0,0,0,0,0,0,0,0,0,0
454,3,1,0,0,0,0,0,0,0,0,0,0
455,3,1,0,0,0,0,0,0,0,0,0,0
456,3,1,0,0,0,0,0,0,0,0,0,0
457,3,1,0,0,0,0,0,0,0,0,0,0
458,3,1,0,0,0,0,0,0,0,0,0,0
459,3,0,1,0,0,0,0,0,0,0,0,0
460,3,1,0,0,0,0,0,0,0,0,0,0
461,3,1,0,0,0,0,0,0,0,0,0,0
462,3,1,0,0,0,0,0,0,0,0,0,0
463,3,1,0,0,0,0,0,0,0,0,0,0
464,3,1,0,0,0,0,0,0,0,0,0,0
465,3,1,0,0,0,0,0,0,0,0,0,0
466,3,1,0,0,0,0,0,0,0,0,0,0
467,3,1,0,0,0,0,0,0,0,0,0,0
468,3,1,0,0,0,0,0,0,0,0,0,0
469,3,1,0,0,0,0,0,0,0,0,0,0
470,3,1,0,0,0,0,0,0,0,0,0,0
471,3,1,0,0,0,0,0,0,0,0,0,0
472,3,1,0,0,0,0,0,0,0,0,0,0
473,3,1,0,0,0,0,0,0,0,0,0,0
474,3,1,0,0,0,0,0,0,0,0,0,0
475,3,1,0,0,0,0,0,0,0,0,0,0
476,3,0,1,0,0,0,0,0,0,0,0,0
477,3,1,0,0,0,0,0,0,0,0,0,0
478,3,1,0,0,0,0,0,0,0,0,0,0
479,3,1,0,0,0,0,0,0,0,0,0,0
480,3,1,0,0,0,0,0,0,0,0,0,0
481,3,1,0,0,0,0,0,0,0,0,0,0
482,3,1,0,0,0,0,0,0,0,0,0,0
483,3,1,0,0,0,0,0,0,0,0,0,0
484,3,1,0,0,0,0,0,0,0,0,0,0
485,3,1,0,0,0,0,0,0,0,0,0,0
486,3,1,0,0,0,0,0,0,0,0,0,0
487,3,1,0,0,0,0,0,0,0,0,0,0
488,3,1,0,0,0,0,0,0,0,0,0,0
489,3,1,0,0,0,0,0,0,0,0,0,0
490,3,1,0,0,0,0,0,0,0,0,0,0
491,3,1,0,0,0,0,0,0,0,0,0,0
492,3,1,0,0,0,0,0,0,0,0,0,0
493,3,1,0,0,0,0,0,0,0,0,0,0
494,3,1,0,0,0,0,0,0,0,0,0,0
495,3,1,0,0,0,0,0,0,0,0,0,0
496,3,1,0,0,0,0,0,0,0,0,0,0
497,3,1,0,0,0,0,0,0,0,0,0,0
498,3,0,1,0,0,0,0,0,0,0,0,0
499,3,1,0,0,0,0,0,0,0,0,0,0
500,3,1,0,0,0,0,0,0,0,0,0,0
501,3,1,0,0,0,0,0,0,0,0,0,0
502,3,1,0,0,0,0,0,0,0,0,0,0
503,3,1,0,0,0,0,0,0,0,0,0,0
504,3,1,0,0,0,0,0,0,0,0,0,0
505,3,1,0,0,0,0,0,0,0,0,0,0
506,3,1,0,0,0,0,0,0,0,0,0,0
507,3,1,0,0,0,0,0,0,0,0,0,0
508,3,1,0,0,0,0,0,0,0,0,0,0
509,3,1,0,0,0,0,0,0,0,0,0,0
510,3,1,0,0,0,0,0,0,0,0,0,0
511,3,1,0,0,0,0,0,0,0,0,0,0
512,3,1,0,0,0,0,0,0,0,0,0,0
513,3,1,0,0,0,0,0,0,0,0,0,0
514,3,1,0,0,0,0,0,0,0,0,0,0
515,3,1,0,0,0,0,0,0,0,0,0,0
516,3,0,1,0,0,0,0,0,0,0,0,0
