pairing,Conservative,Labour,Liberal Democrat,Democratic Unionist Party,Alliance,Social Democratic & Labour Party,Sinn Fein,Ulster Unionist Party,Scottish National Party,Green,Plaid Cymru,Brexit party
489,1,1,0,0,0,0,0,0,0,0,0,0
490,1,1,0,0,0,0,0,0,0,0,0,0
491,1,1,0,0,0,0,0,0,0,0,0,0
492,1,1,0,0,0,0,0,0,0,0,0,0
493,1,1,0,0,0,0,0,0,0,0,0,0
494,1,1,0,0,0,0,0,0,0,0,0,0
495,1,1,0,0,0,0,0,0,0,0,0,0
496,1,1,0,0,0,0,0,0,0,0,0,0
497,1,1,0,0,0,0,0,0,0,0,0,0
498,1,1,0,0,0,0,0,0,0,0,0,0
499,1,1,0,0,0,0,0,0,0,0,0,0
500,1,1,0,0,0,0,0,0,0,0,0,0
501,1,1,0,0,0,0,0,0,0,0,0,0
502,1,1,0,0,0,0,0,0,0,0,0,0
503,1,1,0,0,0,0,0,0,0,0,0,0
504,1,1,0,0,0,0,0,0,0,0,0,0
505,1,1,0,0,0,0,0,0,0,0,0,0
506,0,2,0,0,0,0,0,0,0,0,0,0
507,0,2,0,0,0,0,0,0,0,0,0,0
508,0,2,0,0,0,0,0,0,0,0,0,0
509,1,1,0,0,0,0,0,0,0,0,0,0
510,1,1,0,0,0,0,0,0,0,0,0,0
511,1,1,0,0,0,0,0,0,0,0,0,0
512,1,1,0,0,0,0,0,0,0,0,0,0
513,1,1,0,0,0,0,0,0,0,0,0,0
514,1,1,0,0,0,0,0,0,0,0,0,0
515,1,1,0,0,0,0,0,0,0,0,0,0
516,1,1,0,0,0,0,0,0,0,0,0,0
